,Year,Opened Licenses
0,1977,2
1,1981,1
2,1982,1
3,1983,1
4,1984,2
5,1985,4
6,1986,10
7,1987,12
8,1988,23
9,1989,25
10,1990,22
11,1991,25
12,1992,28
13,1993,44
14,1994,1042
15,1995,1681
16,1996,1994
17,1997,2672
18,1998,2333
19,1999,2565
20,2000,8044
21,2001,6323
22,2002,8855
23,2003,12246
24,2004,9882
25,2005,10308
26,2006,12386
27,2007,11397
28,2008,10643
29,2009,11358
30,2010,11312
31,2011,11907
32,2012,12351
33,2013,11890
34,2014,10152
35,2015,10525
36,2016,10247
37,2017,12693
38,2018,12352
39,2019,8032
40,2020,3213
41,2021,4141
42,2022,4484
43,2023,1338
