,avg_per_day,total_cases,date
0,1.0,1,2020-02-01
1,2102.6451612903224,65182,2020-03-01
2,3643.2,109296,2020-04-01
3,916.6451612903226,28416,2020-05-01
4,361.46666666666664,10844,2020-06-01
5,315.93548387096774,9794,2020-07-01
6,240.19354838709677,7446,2020-08-01
7,369.9,11097,2020-09-01
8,545.9677419354839,16925,2020-10-01
9,1492.1666666666667,44765,2020-11-01
10,3154.7419354838707,97797,2020-12-01
11,4471.774193548387,138625,2021-01-01
12,3089.5714285714284,86508,2021-02-01
13,2969.516129032258,92055,2021-03-01
14,1811.1666666666667,54335,2021-04-01
15,437.4193548387097,13560,2021-05-01
16,175.43333333333334,5263,2021-06-01
17,607.1612903225806,18822,2021-07-01
18,1498.0,46438,2021-08-01
19,1302.9,39087,2021-09-01
20,815.4516129032259,25279,2021-10-01
21,1065.9666666666667,31979,2021-11-01
22,16335.387096774193,506397,2021-12-01
23,14850.387096774193,460362,2022-01-01
24,978.8214285714286,27407,2022-02-01
25,832.516129032258,25808,2022-03-01
26,1965.2,58956,2022-04-01
27,3288.8064516129034,101953,2022-05-01
28,2691.133333333333,80734,2022-06-01
29,3302.7419354838707,102385,2022-07-01
30,2159.451612903226,66943,2022-08-01
31,1579.9333333333334,47398,2022-09-01
32,1614.0,50034,2022-10-01
33,2241.4,67242,2022-11-01
34,2727.6451612903224,84557,2022-12-01
35,1857.967741935484,57597,2023-01-01
36,782.0714285714286,21898,2023-02-01
37,380.258064516129,11788,2023-03-01
38,209.375,5025,2023-04-01
