,Year,Borough,Opened Licenses
0,1977,BROOKLYN,1
1,1981,NEW YORK,1
2,1982,BROOKLYN,1
3,1984,BROOKLYN,1
4,1984,NEW YORK,1
5,1985,NEW YORK,1
6,1985,STATEN ISLAND,1
7,1986,BROOKLYN,4
8,1986,BRONX,1
9,1986,STATEN ISLAND,2
10,1986,NEW YORK,2
11,1987,NEW YORK,6
12,1987,BROOKLYN,3
13,1988,BRONX,3
14,1988,NEW YORK,7
15,1988,STATEN ISLAND,1
16,1988,BROOKLYN,7
17,1989,BRONX,2
18,1989,NEW YORK,7
19,1989,STATEN ISLAND,1
20,1989,BROOKLYN,6
21,1990,BRONX,2
22,1990,STATEN ISLAND,2
23,1990,BROOKLYN,3
24,1990,NEW YORK,10
25,1991,MANHATTAN,1
26,1991,BRONX,5
27,1991,STATEN ISLAND,3
28,1991,NEW YORK,4
29,1991,BROOKLYN,6
30,1992,NEW YORK,12
31,1992,BROOKLYN,5
32,1992,STATEN ISLAND,2
33,1992,BRONX,3
34,1993,BRONX,2
35,1993,NEW YORK,11
36,1993,BROOKLYN,18
37,1993,STATEN ISLAND,4
38,1994,BRONX,74
39,1994,NEW YORK,363
40,1994,BROOKLYN,250
41,1994,STATEN ISLAND,75
42,1995,NEW YORK,540
43,1995,STATEN ISLAND,109
44,1995,BRONX,154
45,1995,BROOKLYN,453
46,1996,STATEN ISLAND,117
47,1996,BROOKLYN,509
48,1996,NEW YORK,671
49,1996,BRONX,169
50,1997,BRONX,290
51,1997,BROOKLYN,701
52,1997,NEW YORK,963
53,1997,STATEN ISLAND,145
54,1998,BROOKLYN,711
55,1998,BRONX,239
56,1998,STATEN ISLAND,179
57,1998,NEW YORK,558
58,1999,BRONX,303
59,1999,STATEN ISLAND,190
60,1999,BROOKLYN,766
61,1999,QUEENS,1
62,1999,NEW YORK,651
63,2000,BRONX,1071
64,2000,QUEENS,3
65,2000,NEW YORK,2191
66,2000,STATEN ISLAND,430
67,2000,BROOKLYN,2431
68,2001,STATEN ISLAND,336
69,2001,BROOKLYN,1939
70,2001,QUEENS,1
71,2001,NEW YORK,1641
72,2001,BRONX,849
73,2002,QUEENS,3
74,2002,BRONX,1019
75,2002,BROOKLYN,2728
76,2002,NEW YORK,1813
77,2002,MANHATTAN,2
78,2002,STATEN ISLAND,751
79,2003,STATEN ISLAND,899
80,2003,BROOKLYN,3616
81,2003,BRONX,1752
82,2003,NEW YORK,2693
83,2003,QUEENS,5
84,2004,BROOKLYN,2853
85,2004,MANHATTAN,1
86,2004,NEW YORK,2361
87,2004,STATEN ISLAND,629
88,2004,QUEENS,3
89,2004,BRONX,1482
90,2005,NEW YORK,2435
91,2005,BROOKLYN,2887
92,2005,QUEENS,5
93,2005,BRONX,1512
94,2005,STATEN ISLAND,655
95,2006,MANHATTAN,1
96,2006,BROOKLYN,3550
97,2006,BRONX,1843
98,2006,STATEN ISLAND,636
99,2006,NEW YORK,3130
100,2006,QUEENS,2
101,2007,NEW YORK,2316
102,2007,BRONX,1550
103,2007,QUEENS,4
104,2007,STATEN ISLAND,838
105,2007,BROOKLYN,3450
106,2008,BRONX,1517
107,2008,STATEN ISLAND,860
108,2008,NEW YORK,2060
109,2008,BROOKLYN,3141
110,2008,QUEENS,1
111,2009,STATEN ISLAND,720
112,2009,BROOKLYN,3379
113,2009,BRONX,1603
114,2009,NEW YORK,2478
115,2010,BRONX,1720
116,2010,NEW YORK,2457
117,2010,QUEENS,1
118,2010,STATEN ISLAND,666
119,2010,BROOKLYN,3503
120,2011,BROOKLYN,3692
121,2011,STATEN ISLAND,727
122,2011,NEW YORK,2441
123,2011,BRONX,1712
124,2011,QUEENS,1
125,2012,NEW YORK,2458
126,2012,STATEN ISLAND,829
127,2012,BROOKLYN,3805
128,2012,MANHATTAN,1
129,2012,BRONX,1811
130,2012,QUEENS,5
131,2013,NEW YORK,2305
132,2013,STATEN ISLAND,797
133,2013,BRONX,1750
134,2013,QUEENS,7
135,2013,BROOKLYN,3545
136,2014,BRONX,1485
137,2014,BROOKLYN,3090
138,2014,NEW YORK,2097
139,2014,STATEN ISLAND,590
140,2015,BROOKLYN,3107
141,2015,NEW YORK,2039
142,2015,BRONX,1709
143,2015,STATEN ISLAND,719
144,2015,QUEENS,2
145,2016,NEW YORK,2033
146,2016,BRONX,1916
147,2016,BROOKLYN,2954
148,2016,STATEN ISLAND,545
149,2016,QUEENS,4
150,2017,BRONX,1909
151,2017,BROOKLYN,3816
152,2017,NEW YORK,2748
153,2017,STATEN ISLAND,727
154,2018,BRONX,1872
155,2018,QUEENS,1
156,2018,NEW YORK,2895
157,2018,BROOKLYN,3597
158,2018,STATEN ISLAND,750
159,2019,STATEN ISLAND,462
160,2019,NEW YORK,1615
161,2019,BRONX,1310
162,2019,MANHATTAN,1
163,2019,BROOKLYN,2304
164,2020,BRONX,453
165,2020,BROOKLYN,987
166,2020,NEW YORK,626
167,2020,STATEN ISLAND,217
168,2020,MANHATTAN,1
169,2021,QUEENS,1
170,2021,BROOKLYN,1241
171,2021,NEW YORK,714
172,2021,STATEN ISLAND,247
173,2021,BRONX,660
174,2022,BRONX,714
175,2022,BROOKLYN,1457
176,2022,NEW YORK,837
177,2022,STATEN ISLAND,261
178,2023,BROOKLYN,431
179,2023,NEW YORK,226
180,2023,BRONX,245
181,2023,STATEN ISLAND,77
