Date,Quarterly Establishments,Borough,PCT_Change,Change
2019-10-01,128628,Manhattan,0.0,0.0
2020-01-01,129964,Manhattan,1.0386541033056567,1336.0
2020-04-01,128378,Manhattan,-0.19435892651677708,-250.0
2020-07-01,128162,Manhattan,-0.36228503902727244,-466.0
2020-10-01,128382,Manhattan,-0.19124918369250862,-246.0
2021-01-01,124733,Manhattan,-3.0281120751313866,-3895.0
2021-04-01,123481,Manhattan,-4.001461579127406,-5147.0
2021-07-01,122854,Manhattan,-4.488913766831483,-5774.0
2021-10-01,126486,Manhattan,-1.6652672823957457,-2142.0
2022-01-01,126739,Manhattan,-1.4685760487607675,-1889.0
2022-04-01,123791,Manhattan,-3.7604565102466028,-4837.0
2022-07-01,125827,Manhattan,-2.17759741269397,-2801.0
2019-10-01,53533,Queens,0.0,0.0
2020-01-01,53290,Queens,-0.4539256159751929,-243.0
2020-04-01,52726,Queens,-1.5074813666336653,-807.0
2020-07-01,53171,Queens,-0.6762184073375301,-362.0
2020-10-01,53572,Queens,0.0728522593540433,39.0
2021-01-01,52485,Queens,-1.9576709693086507,-1048.0
2021-04-01,52213,Queens,-2.4657687781368502,-1320.0
2021-07-01,52700,Queens,-1.5560495395363607,-833.0
2021-10-01,55071,Queens,2.872994227859451,1538.0
2022-01-01,55228,Queens,3.166271271925728,1695.0
2022-04-01,53980,Queens,0.8349989725963425,447.0
2022-07-01,55098,Queens,2.9234304074122504,1565.0
2019-10-01,64811,Brooklyn,0.0,0.0
2020-01-01,65242,Brooklyn,0.6650105691935011,431.0
2020-04-01,64707,Brooklyn,-0.1604665874620049,-104.0
2020-07-01,65247,Brooklyn,0.6727253089753282,436.0
2020-10-01,65981,Brooklyn,1.8052491089475553,1170.0
2021-01-01,64569,Brooklyn,-0.37339340544043453,-242.0
2021-04-01,64457,Brooklyn,-0.5462035765533628,-354.0
2021-07-01,65117,Brooklyn,0.4721420746478221,306.0
2021-10-01,68549,Brooklyn,5.7675394608939845,3738.0
2022-01-01,69282,Brooklyn,6.898520312909845,4471.0
2022-04-01,67935,Brooklyn,4.8201694156856085,3124.0
2022-07-01,69321,Brooklyn,6.958695283208097,4510.0
2019-10-01,18537,Bronx,0.0,0.0
2020-01-01,18437,Bronx,-0.5394616173059287,-100.0
2020-04-01,18240,Bronx,-1.602201003398608,-297.0
2020-07-01,18432,Bronx,-0.5664346981712252,-105.0
2020-10-01,18634,Bronx,0.5232777687867508,97.0
2021-01-01,18352,Bronx,-0.998003992015968,-185.0
2021-04-01,18260,Bronx,-1.4943086799374223,-277.0
2021-07-01,18453,Bronx,-0.45314775853698014,-84.0
2021-10-01,19244,Bronx,3.8139936343529155,707.0
2022-01-01,19328,Bronx,4.267141392889895,791.0
2022-04-01,18860,Bronx,1.7424610238981497,323.0
2022-07-01,19153,Bronx,3.3230835626045208,616.0
2019-10-01,9880,Staten Island,0.0,0.0
2020-01-01,9845,Staten Island,-0.354251012145749,-35.0
2020-04-01,9759,Staten Island,-1.2246963562753037,-121.0
2020-07-01,9824,Staten Island,-0.5668016194331984,-56.0
2020-10-01,9900,Staten Island,0.20242914979757085,20.0
2021-01-01,9683,Staten Island,-1.9939271255060727,-197.0
2021-04-01,9644,Staten Island,-2.388663967611336,-236.0
2021-07-01,9760,Staten Island,-1.214574898785425,-120.0
2021-10-01,10143,Staten Island,2.661943319838057,263.0
2022-01-01,10207,Staten Island,3.3097165991902835,327.0
2022-04-01,9936,Staten Island,0.5668016194331984,56.0
2022-07-01,10089,Staten Island,2.1153846153846154,209.0
